Method,Type,SSIM_Mean,SSIM_Std,LPIPS_Mean,LPIPS_Std,CLIP_Mean,CLIP_Std,Num_Images
Baseline InstructPix2Pix,Overall,0.6283763526912246,0.18735411421586093,0.3315948483613985,0.23204654056850738,23.555537334850857,4.497814342639338,700
Improved v3 InstructPix2Pix,Overall,0.758192434992109,0.14189998383111968,0.2011062972540302,0.15683053737394617,24.031350906917027,3.9889006058679906,700
Baseline InstructPix2Pix,random,0.6255176780479295,0.18360329702267345,0.32792713293539627,0.23546960141084286,23.646367147990635,4.123170175365495,140
Improved v3 InstructPix2Pix,random,0.7356404215097427,0.1515253311945104,0.22441151118172067,0.174110742449328,23.459986216681344,3.9953988239644938,140
Baseline InstructPix2Pix,change_object,0.6248581221327185,0.17892673716555588,0.3380169693380594,0.2276297158012478,22.474713802337646,3.5806219035113167,80
Improved v3 InstructPix2Pix,change_object,0.750135263055563,0.13295076176330112,0.1994379937183112,0.1482016356836566,22.661668562889098,3.6477649670273307,80
Baseline InstructPix2Pix,add_object,0.7152069695293903,0.1455660044961611,0.21570699876174332,0.17165856431860055,24.496111756563188,4.795251881622691,80
Improved v3 InstructPix2Pix,add_object,0.7909510005265474,0.10893392266122887,0.1426779256667942,0.10090207347817222,25.007578253746033,4.076666562974602,80
Baseline InstructPix2Pix,delete_object,0.6309598872438074,0.16495558340808314,0.38865718338638544,0.22933747358264361,19.882901430130005,4.271166722034301,80
Improved v3 InstructPix2Pix,delete_object,0.8369203798472882,0.08109717382668914,0.13735817794222385,0.09742992358117598,22.565786910057067,4.04307490142078,80
Baseline InstructPix2Pix,change_attribute_content,0.6306128516793251,0.1705238792032355,0.303836034424603,0.24098561561925563,23.710196495056152,3.8052459680974886,40
Improved v3 InstructPix2Pix,change_attribute_content,0.8167542435228825,0.11332991188826425,0.14016447076573968,0.13554086226443776,23.861804914474487,3.250961276267244,40
Baseline InstructPix2Pix,change_attribute_pose,0.6176335040479899,0.18994270657133258,0.34468440189957616,0.24129111360324523,22.78770306110382,5.144233201224295,40
Improved v3 InstructPix2Pix,change_attribute_pose,0.7913887828588486,0.12006645061690034,0.18664956670254468,0.1290086539808811,25.119414567947388,3.598216352879749,40
Baseline InstructPix2Pix,change_attribute_color,0.5939656417816878,0.22317795308940902,0.3427965867333114,0.21219883302773748,25.62796790599823,4.017444868112729,40
Improved v3 InstructPix2Pix,change_attribute_color,0.7136074513196945,0.16021211042791375,0.2323998992331326,0.12575331428442327,25.491334104537962,4.120675871123704,40
Baseline InstructPix2Pix,change_attribute_material,0.6413842311128974,0.1973062580227372,0.32620616219937804,0.23848301859707038,24.423065543174744,3.937510382694463,40
Improved v3 InstructPix2Pix,change_attribute_material,0.767566230893135,0.13805052236505932,0.20754719795659185,0.16816315534973458,24.959659910202028,3.449224246340289,40
Baseline InstructPix2Pix,change_background,0.5682653796859085,0.1894913343059425,0.42343544992618265,0.23232299884883914,23.835479581356047,4.591423436831457,80
Improved v3 InstructPix2Pix,change_background,0.7220282007008791,0.14047941498943187,0.2591066877357662,0.17957145252699883,23.56268879175186,3.8620427037028953,80
Baseline InstructPix2Pix,change_style,0.6225486765615642,0.20717116004137776,0.30300424648448826,0.2249817688967214,25.76613609790802,3.5327782578830864,80
Improved v3 InstructPix2Pix,change_style,0.7021198701113462,0.16786444205824697,0.24499860401265322,0.18036755966066834,25.70551528930664,3.6374566273250974,80
