Method,Type,SSIM_Mean,SSIM_Std,LPIPS_Mean,LPIPS_Std,CLIP_Mean,CLIP_Std,Num_Images
Baseline InstructPix2Pix,Overall,0.6283763526912246,0.18735411421586093,0.3315948483613985,0.23204654056850738,23.555537334850857,4.497814342639338,700
Improved v5 InstructPix2Pix,Overall,0.6678438112352576,0.17149207403846098,0.32774752890957254,0.19991835786522555,24.157041330337524,4.193158825384386,700
Baseline InstructPix2Pix,random,0.6255176780479295,0.18360329702267345,0.32792713293539627,0.23546960141084286,23.646367147990635,4.123170175365495,140
Improved v5 InstructPix2Pix,random,0.640528758934566,0.1664040953734788,0.36513790605323654,0.2056114148403262,24.014565542766025,4.019478102872312,140
Baseline InstructPix2Pix,change_object,0.6248581221327185,0.17892673716555588,0.3380169693380594,0.2276297158012478,22.474713802337646,3.5806219035113167,80
Improved v5 InstructPix2Pix,change_object,0.6451516568660736,0.16695714214125335,0.3456331164110452,0.20424089519194336,22.722688484191895,3.4489143860445584,80
Baseline InstructPix2Pix,add_object,0.7152069695293903,0.1455660044961611,0.21570699876174332,0.17165856431860055,24.496111756563188,4.795251881622691,80
Improved v5 InstructPix2Pix,add_object,0.6673277096822858,0.15070566408952765,0.3010586712509394,0.16531868858526794,24.729286670684814,4.611124235494189,80
Baseline InstructPix2Pix,delete_object,0.6309598872438074,0.16495558340808314,0.38865718338638544,0.22933747358264361,19.882901430130005,4.271166722034301,80
Improved v5 InstructPix2Pix,delete_object,0.7944179575890302,0.09350657193154278,0.20193853541277348,0.12414046179454759,22.187498593330382,4.157943418498021,80
Baseline InstructPix2Pix,change_attribute_content,0.6306128516793251,0.1705238792032355,0.303836034424603,0.24098561561925563,23.710196495056152,3.8052459680974886,40
Improved v5 InstructPix2Pix,change_attribute_content,0.7265499725937843,0.1517875616622084,0.27103500366210936,0.1819041700180419,23.85968737602234,3.505208985045729,40
Baseline InstructPix2Pix,change_attribute_pose,0.6176335040479899,0.18994270657133258,0.34468440189957616,0.24129111360324523,22.78770306110382,5.144233201224295,40
Improved v5 InstructPix2Pix,change_attribute_pose,0.7163583390414715,0.13523762462253697,0.29854053193703295,0.14974467779024056,24.472051548957825,4.033690324715909,40
Baseline InstructPix2Pix,change_attribute_color,0.5939656417816878,0.22317795308940902,0.3427965867333114,0.21219883302773748,25.62796790599823,4.017444868112729,40
Improved v5 InstructPix2Pix,change_attribute_color,0.6467177703976631,0.1813210695509361,0.3583422567695379,0.19468856226474207,25.585634326934816,4.115359514087489,40
Baseline InstructPix2Pix,change_attribute_material,0.6413842311128974,0.1973062580227372,0.32620616219937804,0.23848301859707038,24.423065543174744,3.937510382694463,40
Improved v5 InstructPix2Pix,change_attribute_material,0.6522117547690869,0.1792800523904659,0.35322814602404834,0.23158763206085461,25.504997062683106,3.0101663365430493,40
Baseline InstructPix2Pix,change_background,0.5682653796859085,0.1894913343059425,0.42343544992618265,0.23232299884883914,23.835479581356047,4.591423436831457,80
Improved v5 InstructPix2Pix,change_background,0.6729046281427145,0.15844746563995063,0.3397504561115056,0.20761512522978687,23.8783127784729,4.180310016445683,80
Baseline InstructPix2Pix,change_style,0.6225486765615642,0.20717116004137776,0.30300424648448826,0.2249817688967214,25.76613609790802,3.5327782578830864,80
Improved v5 InstructPix2Pix,change_style,0.5719871494919062,0.20239640521279673,0.3998457939829677,0.21718875737321958,26.119650256633758,4.2572657263825135,80
