Method,Type,SSIM_Mean,SSIM_Std,LPIPS_Mean,LPIPS_Std,CLIP_Mean,CLIP_Std,Num_Images
Baseline InstructPix2Pix,Overall,0.6283715502598456,0.18738650406505314,0.3316408315487206,0.2320435451365114,23.553221136501858,4.510121067694236,700
Improved InstructPix2Pix,Overall,0.7480253323274,0.15000206051257833,0.2535630463981735,0.1842661899630805,23.800172936575752,4.0226344494565165,700
Baseline InstructPix2Pix,random,0.6255071778382574,0.18354494575061617,0.3280701673988785,0.23551700875416182,23.644933612006053,4.124385970290117,140
Improved InstructPix2Pix,random,0.7309936758662973,0.14185786799197805,0.27828686987715107,0.17826134996587997,23.80335075514657,4.058983023605937,140
Baseline InstructPix2Pix,change_object,0.6247518725693226,0.17905953341162206,0.33808378456160426,0.22772359640156872,22.497632014751435,3.608608548741765,80
Improved InstructPix2Pix,change_object,0.6249090570956468,0.14774183414614495,0.4241935135796666,0.17124867847015207,22.7563835978508,3.662181576531435,80
Baseline InstructPix2Pix,add_object,0.7152787776663899,0.14554280898830882,0.2156853218562901,0.1715085614601816,24.484047597646715,4.795802297212672,80
Improved InstructPix2Pix,add_object,0.6734817165881395,0.13777898600356772,0.3426460033282638,0.15805182488196073,24.51144345998764,4.303146586947285,80
Baseline InstructPix2Pix,delete_object,0.6307798355817795,0.16513136643480755,0.3888742993120104,0.22920851697902037,19.86183217763901,4.351952828141283,80
Improved InstructPix2Pix,delete_object,0.8484465550631285,0.07909609443183298,0.1128945283126086,0.08247969398296423,22.50519917011261,4.134660777078649,80
Baseline InstructPix2Pix,change_attribute_content,0.6308966550976038,0.17051611521071702,0.3032248608767986,0.24003344655433495,23.720346665382387,3.8187077241257574,40
Improved InstructPix2Pix,change_attribute_content,0.8243456967175007,0.0978854403850083,0.16177364448085427,0.12512104238180952,23.79620418548584,3.6005244737860957,40
Baseline InstructPix2Pix,change_attribute_pose,0.6179105799645186,0.19011284832559075,0.344612233992666,0.24170670557831278,22.900972414016724,5.1340902405557225,40
Improved InstructPix2Pix,change_attribute_pose,0.7623694412410259,0.12709093767423063,0.24609410911798477,0.14053268672893685,24.49497344493866,4.567775023366746,40
Baseline InstructPix2Pix,change_attribute_color,0.5939582888036966,0.22310558929327834,0.3428187938872725,0.2121940777368902,25.57021474838257,4.022331513334651,40
Improved InstructPix2Pix,change_attribute_color,0.8561186596751214,0.0937294126833609,0.12196597682777792,0.07646762350345422,24.376480770111083,3.9215291385591495,40
Baseline InstructPix2Pix,change_attribute_material,0.6413369152694941,0.1973051244625988,0.32637191759422424,0.2385306607216249,24.349603128433227,3.9911528185886884,40
Improved InstructPix2Pix,change_attribute_material,0.8423345029354096,0.10513729471910452,0.1561558835208416,0.14471345647028405,23.85009014606476,3.5378123727932285,40
Baseline InstructPix2Pix,change_background,0.5681801055558026,0.18954087574522752,0.42353191329166295,0.23244706345076288,23.84507225751877,4.583602171742162,80
Improved InstructPix2Pix,change_background,0.7974673461169004,0.10358382892209647,0.1646413141861558,0.1322930680219382,23.232674288749696,3.770978853445107,80
Baseline InstructPix2Pix,change_style,0.6225716926157474,0.20715103943725177,0.30304526090621947,0.22502041088469202,25.752898597717284,3.5493495507266064,80
Improved InstructPix2Pix,change_style,0.679093899950385,0.17109705894006963,0.34430446731857955,0.20021862630000076,25.331074583530427,3.507775306288805,80
